,ORDER ID,ORDER_DATE,AMOUNT
0,2.01819E+11,8/1/2018,538
1,2.01819E+11,8/1/2018,202
2,2.01819E+11,8/1/2018,97
3,2.01819E+11,8/1/2018,57
4,2.01819E+11,8/1/2018,902
5,2.01819E+11,8/1/2018,190
6,2.01819E+11,8/1/2018,51
7,2.01819E+11,8/1/2018,176
8,2.01819E+11,8/1/2018,48
9,2.01819E+11,8/1/2018,66
10,2.01819E+11,8/1/2018,85
11,2.01819E+11,8/1/2018,199
12,2.01819E+11,8/1/2018,185
13,2.01819E+11,8/1/2018,640
14,2.01819E+11,8/1/2018,559
15,2.01819E+11,8/1/2018,239
16,2.01819E+11,8/1/2018,0
17,2.01819E+11,8/1/2018,14
18,2.01819E+11,8/1/2018,160
19,2.01819E+11,8/2/2018,190
20,2.01819E+11,8/2/2018,119
21,2.01819E+11,8/2/2018,351
22,2.01819E+11,8/2/2018,301
23,2.01819E+11,8/2/2018,57
24,2.01819E+11,8/2/2018,182
25,2.01819E+11,8/2/2018,207
26,2.01819E+11,8/2/2018,415
27,2.01819E+11,8/2/2018,216
28,2.01819E+11,8/2/2018,229
29,2.01819E+11,8/2/2018,77
30,2.01819E+11,8/2/2018,0
31,2.01819E+11,8/2/2018,109
32,2.01819E+11,8/2/2018,125
33,2.01819E+11,8/2/2018,908
34,2.01819E+11,8/2/2018,160
35,2.01819E+11,8/2/2018,68
36,2.01819E+11,8/2/2018,189
37,2.01819E+11,8/2/2018,29
38,2.01819E+11,8/2/2018,74
39,2.01819E+11,8/2/2018,57
40,2.01819E+11,8/2/2018,265
41,2.01819E+11,8/2/2018,249
42,2.01819E+11,8/3/2018,1440
43,2.01819E+11,8/3/2018,2353
44,2.01819E+11,8/3/2018,71
45,2.01819E+11,8/3/2018,199
46,2.01819E+11,8/3/2018,729
47,2.01819E+11,8/3/2018,169
48,2.01819E+11,8/3/2018,84
49,2.01819E+11,8/3/2018,199
50,2.01819E+11,8/3/2018,185
51,2.01819E+11,8/3/2018,43
52,2.01819E+11,8/3/2018,75
53,2.01819E+11,8/3/2018,14
54,2.01819E+11,8/3/2018,128
55,2.01819E+11,8/3/2018,184
56,2.01819E+11,8/3/2018,34
57,2.01819E+11,8/3/2018,65
58,2.01819E+11,8/3/2018,71
59,2.01819E+11,8/3/2018,620
60,2.01819E+11,8/3/2018,601
61,2.01819E+11,8/3/2018,494
62,2.01819E+11,8/3/2018,285
63,2.01819E+11,8/3/2018,34
64,2.01819E+11,8/3/2018,17
65,2.01819E+11,8/4/2018,750
66,2.01819E+11,8/4/2018,1300
67,2.01819E+11,8/4/2018,151
68,2.01819E+11,8/4/2018,845
69,2.01819E+11,8/4/2018,666
70,2.01819E+11,8/4/2018,671
71,2.01819E+11,8/4/2018,865
72,2.01819E+11,8/4/2018,57
73,2.01819E+11,8/4/2018,578
74,2.01819E+11,8/4/2018,521
75,2.01819E+11,8/4/2018,933
76,2.01819E+11,8/4/2018,599
77,2.01819E+11,8/4/2018,314
78,2.01819E+11,8/4/2018,915
79,2.01819E+11,8/4/2018,784
80,2.01819E+11,8/4/2018,1276
81,2.01819E+11,8/4/2018,1360
82,2.01819E+11,8/4/2018,208
83,2.01819E+11,8/4/2018,851
84,2.01819E+11,8/4/2018,1592
85,2.01819E+11,8/4/2018,120
86,2.01819E+11,8/4/2018,598
87,2.01819E+11,8/4/2018,0
88,2.01819E+11,8/4/2018,393
89,2.01819E+11,8/4/2018,78
90,2.01819E+11,8/4/2018,536
91,2.01819E+11,8/4/2018,1306
92,2.01819E+11,8/4/2018,190
93,2.01819E+11,8/4/2018,190
94,2.01819E+11,8/4/2018,72
95,2.01819E+11,8/4/2018,48
96,2.01819E+11,8/4/2018,600
97,2.01819E+11,8/4/2018,32
98,2.01819E+11,8/4/2018,95
99,2.01819E+11,8/5/2018,0
100,2.01819E+11,8/5/2018,2459
101,2.01819E+11,8/5/2018,230
102,2.01819E+11,8/6/2018,530
103,2.01819E+11,8/6/2018,80
104,2.01819E+11,8/6/2018,615
105,2.01819E+11,8/6/2018,166
106,2.01819E+11,8/6/2018,65
107,2.01819E+11,8/6/2018,181
108,2.01819E+11,8/6/2018,249
109,2.01819E+11,8/6/2018,541
110,2.01819E+11,8/6/2018,475
111,2.01819E+11,8/6/2018,476
112,2.01819E+11,8/6/2018,1145
113,2.01819E+11,8/6/2018,68
114,2.01819E+11,8/6/2018,86
115,2.01819E+11,8/6/2018,80
116,2.01819E+11,8/6/2018,38
117,2.01819E+11,8/6/2018,32
118,2.01819E+11,8/6/2018,265
119,2.01819E+11,8/6/2018,66
120,2.01819E+11,8/6/2018,48
121,2.01819E+11,8/6/2018,48
122,2.01819E+11,8/6/2018,79
123,2.01819E+11,8/6/2018,28
124,2.01819E+11,8/6/2018,80
125,2.01819E+11,8/7/2018,190
126,2.01819E+11,8/7/2018,89
127,2.01819E+11,8/7/2018,34
128,2.01819E+11,8/7/2018,174
129,2.01819E+11,8/7/2018,182
130,2.01819E+11,8/7/2018,278
131,2.01819E+11,8/7/2018,1126
132,2.01819E+11,8/7/2018,157
133,2.01819E+11,8/7/2018,279
134,2.01819E+11,8/7/2018,252
135,2.01819E+11,8/7/2018,80
136,2.01819E+11,8/7/2018,189
137,2.01819E+11,8/7/2018,1177
138,2.01819E+11,8/7/2018,85
139,2.01819E+11,8/7/2018,155
140,2.01819E+11,8/7/2018,213
141,2.01819E+11,8/7/2018,159
142,2.01819E+11,8/7/2018,404
143,2.01819E+11,8/7/2018,57
144,2.01819E+11,8/7/2018,189
145,2.01819E+11,8/7/2018,451
146,2.01819E+11,8/7/2018,134
147,2.01819E+11,8/7/2018,80
148,2.01819E+11,8/7/2018,54
149,2.01819E+11,8/7/2018,20
150,2.01819E+11,8/7/2018,1750
151,2.01819E+11,8/7/2018,154
152,2.01819E+11,8/7/2018,293
153,2.01819E+11,8/7/2018,600
154,2.01819E+11,8/7/2018,265
155,2.01819E+11,8/7/2018,48
156,2.01819E+11,8/8/2018,180
157,2.01819E+11,8/8/2018,484
158,2.01819E+11,8/8/2018,144
159,2.01819E+11,8/8/2018,201
160,2.01819E+11,8/8/2018,209
161,2.01819E+11,8/8/2018,57
162,2.01819E+11,8/8/2018,414
163,2.01819E+11,8/8/2018,48
164,2.01819E+11,8/8/2018,57
165,2.01819E+11,8/8/2018,133
166,2.01819E+11,8/8/2018,14
167,2.01819E+11,8/8/2018,207
168,2.01819E+11,8/8/2018,51
169,2.01819E+11,8/8/2018,306
170,2.01819E+11,8/8/2018,241
171,2.01819E+11,8/8/2018,195
172,2.01819E+11,8/8/2018,48
173,2.01819E+11,8/8/2018,50
174,2.01819E+11,8/8/2018,275
175,2.01819E+11,8/8/2018,48
176,2.01819E+11,8/8/2018,0
177,2.01819E+11,8/8/2018,0
178,2.01819E+11,8/8/2018,48
179,2.01819E+11,8/8/2018,1332
180,2.01819E+11,8/8/2018,1140
181,2.01819E+11,8/8/2018,285
182,2.01819E+11,8/9/2018,0
183,2.01819E+11,8/9/2018,237
184,2.01819E+11,8/9/2018,538
185,2.01819E+11,8/9/2018,146
186,2.01819E+11,8/9/2018,373
187,2.01819E+11,8/9/2018,640
188,2.01819E+11,8/9/2018,228
189,2.01819E+11,8/10/2018,95
190,2.01819E+11,8/10/2018,471
191,2.01819E+11,8/10/2018,455
192,2.01819E+11,8/10/2018,2412
193,2.01819E+11,8/10/2018,0
194,2.01819E+11,8/10/2018,123
195,2.01819E+11,8/10/2018,347
196,2.01819E+11,8/10/2018,284
197,2.01819E+11,8/10/2018,241
198,2.01819E+11,8/10/2018,305
199,2.01819E+11,8/10/2018,51
200,2.01819E+11,8/10/2018,114
201,2.01819E+11,8/10/2018,86
202,2.01819E+11,8/10/2018,310
203,2.01819E+11,8/10/2018,68
204,2.01819E+11,8/10/2018,143
205,2.01819E+11,8/10/2018,139
206,2.01819E+11,8/10/2018,604
207,2.01819E+11,8/10/2018,382
208,2.01819E+11,8/10/2018,57
209,2.01819E+11,8/10/2018,420
210,2.01819E+11,8/10/2018,79
211,2.01819E+11,8/11/2018,242
212,2.01819E+11,8/11/2018,223
213,2.01819E+11,8/11/2018,426
214,2.01819E+11,8/11/2018,467
215,2.01819E+11,8/11/2018,0
216,2.01819E+11,8/11/2018,536
217,2.01819E+11,8/11/2018,269
218,2.01819E+11,8/11/2018,384
219,2.01819E+11,8/11/2018,445
220,2.01819E+11,8/11/2018,411
221,2.01819E+11,8/11/2018,400
222,2.01819E+11,8/11/2018,105
223,2.01819E+11,8/11/2018,67
224,2.01819E+11,8/11/2018,675
225,2.01819E+11,8/11/2018,481
226,2.01819E+11,8/11/2018,623
227,2.01819E+11,8/11/2018,261
228,2.01819E+11,8/11/2018,418
229,2.01819E+11,8/11/2018,0
230,2.01819E+11,8/11/2018,122
231,2.01819E+11,8/11/2018,0
232,2.01819E+11,8/11/2018,68
233,2.01819E+11,8/11/2018,264
234,2.01819E+11,8/11/2018,856
235,2.01819E+11,8/11/2018,1549
236,2.01819E+11,8/11/2018,530
237,2.01819E+11,8/11/2018,188
238,2.01819E+11,8/11/2018,110
239,2.01819E+11,8/11/2018,0
240,2.01819E+11,8/11/2018,66
241,2.01819E+11,8/11/2018,632
242,2.01819E+11,8/11/2018,17
243,2.01819E+11,8/11/2018,48
244,2.01819E+11,8/12/2018,279
245,2.01819E+11,8/12/2018,406
246,2.01819E+11,8/13/2018,102
247,2.01819E+11,8/13/2018,0
248,2.01819E+11,8/13/2018,71
249,2.01819E+11,8/13/2018,412
250,2.01819E+11,8/13/2018,618
251,2.01819E+11,8/13/2018,156
252,2.01819E+11,8/13/2018,488
253,2.01819E+11,8/13/2018,1023
254,2.01819E+11,8/13/2018,245
255,2.01819E+11,8/13/2018,57
256,2.01819E+11,8/13/2018,814
257,2.01819E+11,8/13/2018,14
258,2.01819E+11,8/13/2018,181
259,2.01819E+11,8/13/2018,84
260,2.01819E+11,8/13/2018,535
261,2.01819E+11,8/13/2018,51
262,2.01819E+11,8/13/2018,316
263,2.01819E+11,8/13/2018,118
264,2.01819E+11,8/13/2018,265
265,2.01819E+11,8/13/2018,80
266,2.01819E+11,8/13/2018,265
267,2.01819E+11,8/13/2018,290
268,2.01819E+11,8/13/2018,80
269,2.01819E+11,8/13/2018,316
270,2.01819E+11,8/13/2018,732
271,2.01819E+11,8/13/2018,242
272,2.01819E+11,8/14/2018,589
273,2.01819E+11,8/14/2018,147
274,2.01819E+11,8/14/2018,332
275,2.01819E+11,8/14/2018,189
276,2.01819E+11,8/14/2018,86
277,2.01819E+11,8/14/2018,544
278,2.01819E+11,8/14/2018,296
279,2.01819E+11,8/14/2018,548
280,2.01819E+11,8/14/2018,332
281,2.01819E+11,8/14/2018,316
282,2.01819E+11,8/14/2018,110
283,2.01819E+11,8/14/2018,51
284,2.01819E+11,8/14/2018,762
285,2.01819E+11,8/14/2018,131
286,2.01819E+11,8/14/2018,227
287,2.01819E+11,8/14/2018,789
288,2.01819E+11,8/14/2018,239
289,2.01819E+11,8/14/2018,897
290,2.01819E+11,8/14/2018,242
291,2.01819E+11,8/14/2018,195
292,2.01819E+11,8/14/2018,446
293,2.01819E+11,8/14/2018,114
294,2.01819E+11,8/14/2018,5009
295,2.01819E+11,8/14/2018,386
296,2.01819E+11,8/14/2018,315
297,2.01819E+11,8/14/2018,1002
298,2.01819E+11,8/14/2018,400
299,2.01819E+11,8/14/2018,698
300,2.01819E+11,8/14/2018,82
301,2.01819E+11,8/14/2018,17
302,2.01819E+11,8/15/2018,348
303,2.01819E+11,8/15/2018,570
304,2.01819E+11,8/16/2018,209
305,2.01819E+11,8/16/2018,29
306,2.01819E+11,8/16/2018,306
307,2.01819E+11,8/16/2018,51
308,2.01819E+11,8/16/2018,492
309,2.01819E+11,8/16/2018,227
310,2.01819E+11,8/16/2018,307
311,2.01819E+11,8/16/2018,148
312,2.01819E+11,8/16/2018,632
313,2.01819E+11,8/16/2018,518
314,2.01819E+11,8/16/2018,284
315,2.01819E+11,8/16/2018,133
316,2.01819E+11,8/16/2018,139
317,2.01819E+11,8/16/2018,745
318,2.01819E+11,8/16/2018,460
319,2.01819E+11,8/16/2018,920
320,2.01819E+11,8/16/2018,314
321,2.01819E+11,8/17/2018,65
322,2.01819E+11,8/17/2018,74
323,2.01819E+11,8/17/2018,340
324,2.01819E+11,8/17/2018,113
325,2.01819E+11,8/17/2018,0
326,2.01819E+11,8/17/2018,71
327,2.01819E+11,8/17/2018,214
328,2.01819E+11,8/17/2018,0
329,2.01819E+11,8/17/2018,375
330,2.01819E+11,8/17/2018,200
331,2.01819E+11,8/17/2018,190
332,2.01819E+11,8/17/2018,407
333,2.01819E+11,8/17/2018,342
334,2.01819E+11,8/17/2018,320
335,2.01819E+11,8/17/2018,0
336,2.01819E+11,8/17/2018,282
337,2.01819E+11,8/17/2018,57
338,2.01819E+11,8/17/2018,243
339,2.01819E+11,8/17/2018,0
340,2.01819E+11,8/17/2018,0
341,2.01819E+11,8/17/2018,361
342,2.01819E+11,8/17/2018,86
343,2.01819E+11,8/17/2018,3539
344,2.01819E+11,8/17/2018,638
345,2.01819E+11,8/18/2018,499
346,2.01819E+11,8/18/2018,142
347,2.01819E+11,8/18/2018,222
348,2.01819E+11,8/18/2018,1090
349,2.01819E+11,8/18/2018,464
350,2.01819E+11,8/18/2018,223
351,2.01819E+11,8/18/2018,207
352,2.01819E+11,8/18/2018,218
353,2.01819E+11,8/18/2018,400
354,2.01819E+11,8/18/2018,192
355,2.01819E+11,8/18/2018,0
356,2.01819E+11,8/18/2018,399
357,2.01819E+11,8/18/2018,224
358,2.01819E+11,8/18/2018,195
359,2.01819E+11,8/18/2018,807
360,2.01819E+11,8/18/2018,189
361,2.01819E+11,8/18/2018,91
362,2.01819E+11,8/18/2018,329
363,2.01819E+11,8/18/2018,630
364,2.01819E+11,8/18/2018,20
365,2.01819E+11,8/18/2018,460
366,2.01819E+11,8/18/2018,1140
367,2.01819E+11,8/18/2018,190
368,2.01819E+11,8/18/2018,99
369,2.01819E+11,8/18/2018,366
370,2.01819E+11,8/18/2018,1290
371,2.01819E+11,8/18/2018,710
372,2.01819E+11,8/18/2018,760
373,2.01819E+11,8/18/2018,232
374,2.01819E+11,8/18/2018,131
375,2.01819E+11,8/18/2018,400
376,2.01819E+11,8/18/2018,158
377,2.01819E+11,8/18/2018,114
378,2.01819E+11,8/18/2018,230
379,2.01819E+11,8/18/2018,766
380,2.01819E+11,8/18/2018,297
381,2.01819E+11,8/18/2018,276
382,2.01819E+11,8/18/2018,57
383,2.01819E+11,8/18/2018,80
384,2.01819E+11,8/19/2018,904
385,2.01819E+11,8/19/2018,190
386,2.01819E+11,8/19/2018,1123
387,2.01819E+11,8/19/2018,245
388,2.01819E+11,8/19/2018,111
389,2.01819E+11,8/19/2018,316
390,2.01819E+11,8/20/2018,265
391,2.01819E+11,8/20/2018,247
392,2.01819E+11,8/20/2018,948
393,2.01819E+11,8/20/2018,297
394,2.01819E+11,8/20/2018,29
395,2.01819E+11,8/20/2018,274
396,2.01819E+11,8/20/2018,125
397,2.01819E+11,8/20/2018,133
398,2.01819E+11,8/20/2018,186
399,2.01819E+11,8/20/2018,1518
400,2.01819E+11,8/20/2018,1048
401,2.01819E+11,8/20/2018,703
402,2.01819E+11,8/20/2018,268
403,2.01819E+11,8/20/2018,209
404,2.01819E+11,8/20/2018,70
405,2.01819E+11,8/20/2018,330
406,2.01819E+11,8/20/2018,645
407,2.01819E+11,8/20/2018,51
408,2.01819E+11,8/20/2018,621
409,2.01819E+11,8/20/2018,330
410,2.01819E+11,8/20/2018,142
411,2.01819E+11,8/20/2018,4402
412,2.01819E+11,8/20/2018,15
413,2.01819E+11,8/20/2018,75
414,2.01819E+11,8/20/2018,331
415,2.01819E+11,8/20/2018,33
416,2.01819E+11,8/21/2018,413
417,2.01819E+11,8/21/2018,155
418,2.01819E+11,8/21/2018,86
419,2.01819E+11,8/21/2018,318
420,2.01819E+11,8/21/2018,886
421,2.01819E+11,8/21/2018,157
422,2.01819E+11,8/21/2018,588
423,2.01819E+11,8/21/2018,309
424,2.01819E+11,8/21/2018,503
425,2.01819E+11,8/21/2018,424
426,2.01819E+11,8/21/2018,191
427,2.01819E+11,8/21/2018,275
428,2.01819E+11,8/21/2018,195
429,2.01819E+11,8/21/2018,63
430,2.01819E+11,8/21/2018,0
431,2.01819E+11,8/21/2018,348
432,2.01819E+11,8/21/2018,56
433,2.01819E+11,8/21/2018,85
434,2.01819E+11,8/21/2018,119
435,2.01819E+11,8/22/2018,309
436,2.01819E+11,8/22/2018,2163
437,2.01819E+11,8/22/2018,668
438,2.01819E+11,8/22/2018,1330
439,2.01819E+11,8/23/2018,455
440,2.01819E+11,8/23/2018,355
441,2.01819E+11,8/23/2018,182
442,2.01819E+11,8/23/2018,279
443,2.01819E+11,8/23/2018,522
444,2.01819E+11,8/23/2018,264
445,2.01819E+11,8/23/2018,80
446,2.01819E+11,8/23/2018,264
447,2.01819E+11,8/23/2018,160
448,2.01819E+11,8/23/2018,615
449,2.01819E+11,8/23/2018,57
450,2.01819E+11,8/23/2018,708
451,2.01819E+11,8/23/2018,57
452,2.01819E+11,8/23/2018,187
453,2.01819E+11,8/23/2018,365
454,2.01819E+11,8/23/2018,161
455,2.01819E+11,8/23/2018,48
456,2.01819E+11,8/23/2018,140
457,2.01819E+11,8/23/2018,36
458,2.01819E+11,8/23/2018,294
459,2.01819E+11,8/23/2018,366
460,2.01819E+11,8/23/2018,421
461,2.01819E+11,8/23/2018,254
462,2.01819E+11,8/23/2018,255
463,2.01819E+11,8/23/2018,185
464,2.01819E+11,8/23/2018,0
465,2.01819E+11,8/23/2018,230
466,2.01819E+11,8/24/2018,226
467,2.01819E+11,8/24/2018,436
468,2.01819E+11,8/24/2018,554
469,2.01819E+11,8/24/2018,253
470,2.01819E+11,8/24/2018,105
471,2.01819E+11,8/24/2018,427
472,2.01819E+11,8/24/2018,82
473,2.01819E+11,8/24/2018,237
474,2.01819E+11,8/24/2018,1435
475,2.01819E+11,8/24/2018,29
476,2.01819E+11,8/24/2018,268
477,2.01819E+11,8/24/2018,68
478,2.01819E+11,8/24/2018,115
479,2.01819E+11,8/24/2018,60
480,2.01819E+11,8/24/2018,223
481,2.01819E+11,8/24/2018,460
482,2.01819E+11,8/24/2018,161
483,2.01819E+11,8/24/2018,412
484,2.01819E+11,8/24/2018,48
485,2.01819E+11,8/24/2018,458
486,2.01819E+11,8/24/2018,34
487,2.01819E+11,8/24/2018,265
488,2.01819E+11,8/25/2018,852
489,2.01819E+11,8/25/2018,660
490,2.01819E+11,8/25/2018,227
491,2.01819E+11,8/25/2018,1200
492,2.01819E+11,8/25/2018,503
493,2.01819E+11,8/25/2018,82
494,2.01819E+11,8/25/2018,285
495,2.01819E+11,8/25/2018,578
496,2.01819E+11,8/25/2018,472
497,2.01819E+11,8/25/2018,599
498,2.01819E+11,8/25/2018,29
499,2.01819E+11,8/25/2018,272
500,2.01819E+11,8/25/2018,243
501,2.01819E+11,8/25/2018,928
502,2.01819E+11,8/25/2018,96
503,2.01819E+11,8/25/2018,24
504,2.01819E+11,8/25/2018,279
505,2.01819E+11,8/25/2018,689
506,2.01819E+11,8/25/2018,604
507,2.01819E+11,8/25/2018,244
508,2.01819E+11,8/25/2018,862
